ＥＤＩＮＥＴコード,提出者業種
E00004,水産・農林業
E00006,水産・農林業
E00007,水産・農林業
E00008,水産・農林業
E00009,水産・農林業
E00010,水産・農林業
E00011,建設業
E00012,水産・農林業
E00014,水産・農林業
E00015,水産・農林業
E00017,卸売業
E00021,非鉄金属
E00023,非鉄金属
E00024,非鉄金属
E00026,非鉄金属
E00027,非鉄金属
E00028,非鉄金属
E00030,石油・石炭製品
E00032,非鉄金属
E00033,サービス業
E00034,卸売業
E00035,機械
E00036,鉱業
E00037,その他製品
E00041,鉱業
E00043,鉱業
E00045,鉱業
E00048,建設業
E00049,建設業
E00050,内国法人・組合（有価証券報告書等の提出義務者以外）
E00051,建設業
E00052,建設業
E00053,建設業
E00055,建設業
E00056,建設業
E00057,内国法人・組合（有価証券報告書等の提出義務者以外）
E00058,建設業
E00059,建設業
E00060,建設業
E00061,建設業
E00063,建設業
E00064,建設業
E00065,建設業
E00066,建設業
E00067,建設業
E00069,建設業
E00073,建設業
E00074,建設業
E00075,建設業
E00076,建設業
E00078,サービス業
E00079,建設業
E00080,建設業
E00081,建設業
E00082,建設業
E00083,建設業
E00085,建設業
E00086,建設業
E00090,建設業
E00091,金属製品
E00092,建設業
E00093,建設業
E00094,建設業
E00095,建設業
E00097,建設業
E00098,建設業
E00099,建設業
E00101,建設業
E00105,建設業
E00107,建設業
E00109,建設業
E00112,建設業
E00113,建設業
E00114,建設業
E00115,建設業
E00116,建設業
E00117,建設業
E00118,建設業
E00119,建設業
E00120,建設業
E00121,建設業
E00127,内国法人・組合（有価証券報告書等の提出義務者以外）
E00129,内国法人・組合（有価証券報告書等の提出義務者以外）
E00130,建設業
E00133,建設業
E00135,建設業
E00137,建設業
E00138,建設業
E00142,建設業
E00143,建設業
E00144,建設業
E00146,建設業
E00147,建設業
E00148,建設業
E00149,建設業
E00153,建設業
E00156,建設業
E00157,卸売業
E00161,建設業
E00165,不動産業
E00167,建設業
E00168,建設業
E00169,建設業
E00170,建設業
E00173,建設業
E00174,建設業
E00175,建設業
E00176,建設業
E00178,建設業
E00179,建設業
E00181,建設業
E00182,建設業
E00183,建設業
E00184,建設業
E00185,建設業
E00187,サービス業
E00189,建設業
E00191,内国法人・組合（有価証券報告書等の提出義務者以外）
E00193,建設業
E00194,建設業
E00196,建設業
E00197,建設業
E00198,建設業
E00200,建設業
E00201,建設業
E00202,建設業
E00204,建設業
E00207,建設業
E00208,サービス業
E00209,建設業
E00210,情報・通信業
E00211,内国法人・組合（有価証券報告書等の提出義務者以外）
E00213,建設業
E00218,建設業
E00221,建設業
E00222,建設業
E00225,建設業
E00227,建設業
E00231,建設業
E00232,建設業
E00233,建設業
E00235,建設業
E00238,建設業
E00239,建設業
E00240,建設業
E00242,建設業
E00246,建設業
E00248,建設業
E00250,建設業
E00251,建設業
E00252,建設業
E00253,建設業
E00254,建設業
E00255,建設業
E00258,建設業
E00259,建設業
E00260,建設業
E00263,建設業
E00264,内国法人・組合（有価証券報告書等の提出義務者以外）
E00265,建設業
E00267,建設業
E00268,建設業
E00271,建設業
E00272,建設業
E00273,建設業
E00276,建設業
E00277,建設業
E00279,建設業
E00281,建設業
E00282,建設業
E00285,建設業
E00287,建設業
E00288,建設業
E00299,建設業
E00302,内国法人・組合（有価証券報告書等の提出義務者以外）
E00303,建設業
E00304,建設業
E00306,建設業
E00308,建設業
E00309,内国法人・組合（有価証券報告書等の提出義務者以外）
E00311,不動産業
E00312,建設業
E00313,建設業
E00315,建設業
E00316,建設業
E00317,建設業
E00318,内国法人・組合（有価証券報告書等の提出義務者以外）
E00320,建設業
E00322,建設業
E00323,建設業
E00325,建設業
E00327,建設業
E00329,建設業
E00331,食料品
E00334,食料品
E00335,食料品
E00336,内国法人・組合（有価証券報告書等の提出義務者以外）
E00337,食料品
E00341,食料品
E00342,食料品
E00343,食料品
E00344,水産・農林業
E00345,食料品
E00346,食料品
E00347,食料品
E00348,食料品
E00350,食料品
E00351,食料品
E00352,内国法人・組合（有価証券報告書等の提出義務者以外）
E00354,食料品
E00355,食料品
E00356,食料品
E00360,食料品
E00361,食料品
E00362,不動産業
E00365,食料品
E00366,食料品
E00367,食料品
E00368,食料品
E00369,食料品
E00371,食料品
E00372,食料品
E00373,食料品
E00374,食料品
E00375,食料品
E00376,食料品
E00377,食料品
E00378,食料品
E00380,食料品
E00381,食料品
E00382,食料品
E00384,内国法人・組合（有価証券報告書等の提出義務者以外）
E00385,食料品
E00386,食料品
E00387,食料品
E00388,食料品
E00389,食料品
E00390,小売業
E00392,食料品
E00393,食料品
E00394,食料品
E00395,食料品
E00396,食料品
E00397,食料品
E00399,内国法人・組合（有価証券報告書等の提出義務者以外）
E00400,食料品
E00405,食料品
E00406,食料品
E00408,食料品
E00410,食料品
E00411,内国法人・組合（有価証券報告書等の提出義務者以外）
E00414,食料品
E00417,食料品
E00421,食料品
E00422,食料品
E00423,食料品
E00424,食料品
E00428,食料品
E00430,食料品
E00431,食料品
E00432,内国法人・組合（有価証券報告書等の提出義務者以外）
E00433,食料品
E00434,食料品
E00435,食料品
E00436,食料品
E00437,食料品
E00439,食料品
E00442,食料品
E00443,食料品
E00444,食料品
E00446,食料品
E00447,食料品
E00448,化学
E00449,内国法人・組合（有価証券報告書等の提出義務者以外）
E00452,食料品
E00453,食料品
E00454,食料品
E00456,卸売業
E00457,食料品
E00458,食料品
E00461,食料品
E00462,食料品
E00464,食料品
E00465,食料品
E00466,食料品
E00467,食料品
E00469,食料品
E00471,食料品
E00472,食料品
E00473,食料品
E00474,食料品
E00475,食料品
E00476,食料品
E00477,食料品
E00478,食料品
E00480,食料品
E00481,食料品
E00482,食料品
E00484,食料品
E00485,食料品
E00486,食料品
E00487,食料品
E00488,食料品
E00491,食料品
E00492,食料品
E00493,食料品
E00494,食料品
E00495,食料品
E00496,食料品
E00497,食料品
E00498,食料品
E00501,食料品
E00502,食料品
E00503,食料品
E00505,食料品
E00506,食料品
E00507,食料品
E00508,食料品
E00510,食料品
E00511,食料品
E00512,食料品
E00513,食料品
E00514,食料品
E00515,食料品
E00518,小売業
E00520,繊維製品
E00521,サービス業
E00523,不動産業
E00524,繊維製品
E00525,化学
E00527,繊維製品
E00528,繊維製品
E00529,卸売業
E00530,繊維製品
E00531,繊維製品
E00534,繊維製品
E00536,内国法人・組合（有価証券報告書等の提出義務者以外）
E00540,輸送用機器
E00541,証券、商品先物取引業
E00542,ガラス・土石製品
E00543,繊維製品
E00544,電気機器
E00545,サービス業
E00547,繊維製品
E00550,繊維製品
E00551,内国法人・組合（有価証券報告書等の提出義務者以外）
E00552,繊維製品
E00555,繊維製品
E00556,繊維製品
E00558,卸売業
E00559,繊維製品
E00562,繊維製品
E00563,繊維製品
E00565,繊維製品
E00566,繊維製品
E00567,繊維製品
E00568,不動産業
E00569,繊維製品
E00570,卸売業
E00571,繊維製品
E00572,繊維製品
E00573,繊維製品
E00574,繊維製品
E00576,不動産業
E00577,繊維製品
E00578,繊維製品
E00584,繊維製品
E00585,小売業
E00590,繊維製品
E00591,繊維製品
E00593,繊維製品
E00596,繊維製品
E00598,繊維製品
E00600,繊維製品
E00601,繊維製品
E00603,繊維製品
E00604,繊維製品
E00605,繊維製品
E00607,繊維製品
E00609,小売業
E00610,繊維製品
E00612,内国法人・組合（有価証券報告書等の提出義務者以外）
E00614,繊維製品
E00616,繊維製品
E00617,繊維製品
E00619,その他製品
E00621,その他製品
E00623,内国法人・組合（有価証券報告書等の提出義務者以外）
E00624,内国法人・組合（有価証券報告書等の提出義務者以外）
E00628,内国法人・組合（有価証券報告書等の提出義務者以外）
E00630,その他製品
E00631,その他製品
E00632,その他製品
E00633,その他製品
E00635,その他製品
E00636,その他製品
E00639,その他製品
E00640,その他製品
E00642,パルプ・紙
E00644,パルプ・紙
E00645,パルプ・紙
E00649,パルプ・紙
E00650,パルプ・紙
E00652,その他製品
E00659,パルプ・紙
E00660,パルプ・紙
E00664,パルプ・紙
E00667,その他製品
E00668,パルプ・紙
E00669,パルプ・紙
E00670,その他製品
E00674,パルプ・紙
E00675,パルプ・紙
E00677,パルプ・紙
E00678,化学
E00679,その他製品
E00681,パルプ・紙
E00682,パルプ・紙
E00685,パルプ・紙
E00686,パルプ・紙
E00687,パルプ・紙
E00688,パルプ・紙
E00690,パルプ・紙
E00691,パルプ・紙
E00692,その他製品
E00693,その他製品
E00694,その他製品
E00695,その他製品
E00696,その他製品
E00697,その他製品
E00698,その他製品
E00699,その他製品
E00701,その他製品
E00703,その他製品
E00704,その他製品
E00705,小売業
E00707,情報・通信業
E00708,パルプ・紙
E00709,情報・通信業
E00710,その他製品
E00711,その他製品
E00712,その他製品
E00713,その他製品
E00714,パルプ・紙
E00715,その他製品
E00716,その他製品
E00717,情報・通信業
E00718,その他製品
E00719,その他製品
E00720,その他製品
E00721,情報・通信業
E00722,その他製品
E00723,情報・通信業
E00724,その他製品
E00725,その他製品
E00726,その他製品
E00728,情報・通信業
E00730,その他製品
E00732,内国法人・組合（有価証券報告書等の提出義務者以外）
E00733,情報・通信業
E00734,その他製品
E00735,その他製品
E00736,情報・通信業
E00737,パルプ・紙
E00738,その他製品
E00740,内国法人・組合（有価証券報告書等の提出義務者以外）
E00744,サービス業
E00745,その他金融業
E00746,その他製品
E00748,その他製品
E00751,化学
E00752,化学
E00753,化学
E00754,化学
E00755,化学
E00759,化学
E00760,化学
E00761,化学
E00762,化学
E00763,ガラス・土石製品
E00764,化学
E00765,化学
E00766,化学
E00767,化学
E00768,化学
E00769,化学
E00770,化学
E00771,化学
E00772,化学
E00773,化学
E00774,化学
E00775,電気機器
E00776,化学
E00777,化学
E00780,化学
E00781,化学
E00783,化学
E00784,化学
E00786,化学
E00787,化学
E00788,内国法人・組合（有価証券報告書等の提出義務者以外）
E00789,化学
E00791,化学
E00792,化学
E00794,機械
E00796,化学
E00804,化学
E00805,化学
E00806,化学
E00808,化学
E00809,化学
E00810,化学
E00811,化学
E00812,化学
E00813,化学
E00815,化学
E00816,医薬品
